Text,Language
"Si vous disposez d'ouvrages ou d'articles de référence ou si vous connaissez des sites web de qualité traitant du thème abordé ici, merci de compléter l'article en donnant les références utiles à sa vérifiabilité et en les liant à la section « Notes et références » En pratique : Quelles sources sont attendues ?",French
Comment ajouter mes sources ?,French
"Cette page ou section est en train d'être traduite en français à partir de l'article Wikipédia Nature rédigé en anglais, raison pour laquelle il peut y avoir des lacunes dans le contenu, des erreurs syntaxiques voire du texte non traduit.",French
Vous pouvez aider au développement de Wikipédia en continuant la traduction à partir de l'article original.,French
"Le mot nature est un terme polysémique (c’est-à-dire qu'il a plusieurs sens) : il peut signifier la composition et la matière d'une chose (ce qu'elle est, son essence), l'origine et le devenir d'une chose, l'ensemble du réel indépendant de la culture humaine, ou l'ensemble des systèmes et des phénomènes naturels[1].",French
"Au sens commun, la nature peut regrouper : Face au constat des répercussions négatives des activités humaines sur l'environnement biophysique et la perte accélérée de naturalité et de biodiversité au cours des dernières décennies, la protection de la nature et des milieux naturels, la sauvegarde des habitats et des espèces, la mise en place d'un développement durable et raisonnable et l'éducation à l'environnement sont devenues des demandes pour une grande partie des citoyens de la plupart des pays industrialisés.",French
"Les principes de l'éthique environnementale, de nouvelles lois et des chartes de protection de l'environnement fondent le développement d'une idéologie culturelle humaine en relation avec la biosphère.",French
"Si l'étymologie du terme « nature » est relativement bien connue, l'évolution de son sens est beaucoup plus complexe à déterminer, et ce terme a connu des significations très différentes voire contradictoires pendant son histoire[1].",French
Le mot nature est attesté en français depuis 1119[2].,French
"Il vient du latin natura, qui désignait « le cours des choses ; le caractère naturel, la constitution, la qualité ; l'univers » et littéralement « naissance ».",French
"Le terme vient lui-même du verbe nascor (« naître »), ici au supin[1].",French
"Si ce terme signifie essentiellement le « caractère inné » au IIe siècle avant notre ère, le latin classique, notamment par le biais de Cicéron, va l'enrichir de tous les sens du terme grec phusis, beaucoup plus complexe et obscur et dont il devient la traduction en philosophie latine[1].",French
"Phusis vient du verbe phuein, dérivé de la racine phu qui désigne la croissance végétale.",French
"Phuein, c'est l'éclosion, ce qui se manifeste en révélant ce qui était contenu dans la semence ; ainsi, le phuein, c'est le propre de la plante qui croît à partir de soi-même, qui a son centre de changement à l'intérieur et non pas à l'extérieur, comme une pierre.",French
"Pour Merleau-Ponty, cette parenté de la phusis et du végétal fait que « est nature ce qui a un sens, sans que ce sens ait été posé par la pensée.",French
C'est l'autoproduction d'un sens »[3].,French
"Cette étymologie indique que les anciens grecs et romains avaient une conception dynamique, « vitaliste » de la nature[1], conception selon laquelle le vivant n'est pas réductible aux lois physico-chimiques de la matière[4].",French
"Pour les grecs de l'antiquité, Aristote en particulier, la nature est une puissance d'engendrement des êtres, mais cette puissance n'est pas séparée des choses elles-mêmes, elle leur est « immanente » : « chaque être naturel a en soi-même un principe de mouvement et de repos »[5].",French
"Aristote énumère cependant plusieurs définitions différentes de la nature, et introduit une opposition entre le naturel et l'artificiel : le naturel est ce qui est produit par la phusis, ce qui existe par soi-même, l'artificiel est ce qui est produit par la technè, par l'action et le travail (d'Hommes, d'animaux ou de dieux).",French
C'est cette opposition qui sera plus tard reprise dans la philosophie romaine par Cicéron à travers l'opposition nature/culture[1].,French
"Cette première approche dynamique et vitaliste s'est estompée au XVIIe siècle où le mot devient synonyme d'univers matériel, réglé par des lois[1].",French
"C'est ainsi que Fontenelle, après Descartes, dira que « la nature est en grand ce qu'une montre est en petit »[6].",French
"Mais si cette vision mécaniste de la nature reste encore largement répandue, elle a été critiquée par la génération romantique au début du XIXe siècle, et notamment par Engels dans son Anti-Dühring[7] : pour lui il faut concevoir la nature, aussi bien sur terre que dans l'univers comme un processus évolutif, historique et dialectique : rien dans la nature ne reste identique à soi, tout change et se transforme en permanence.",French
"Cette nouvelle approche redevenue dynamique s'illustrera pendant tout le XIXe siècle, notamment à travers Darwin qui instaure, dans la foulée de Buffon, une approche historique de la nature, qui n'est dès lors plus fixe : les espèces évoluent en permanence, ainsi que les milieux dans lesquels elles vivent.",French
"Tandis que Darwin se concentre sur l'histoire des êtres, celle des roches sera illustrée par Alfred Wegener, qui théorise la dérive des continents.",French
La première grande philosophie de la nature se trouve dans l'œuvre d'Aristote.,French
"Selon lui, « la nature ne fait rien en  vain », ce qui signifie que la nature est une puissance orientée vers certaines  fins.",French
L'explication  scientifique consistera donc à découvrir cette finalité.,French
"Par exemple, si l'eau monte dans un tuyau dont on aspire l'air, c'est parce que ""la nature a horreur du vide"".",French
"Selon Jan Patocka, « On peut demander si cette philosophie ne nous offre pas un cas typique d'anthropomorphisme »[8].",French
En fait Aristote pense l'action de la nature à partir du travail de l'artisan qui imprime une forme à la matière pour arriver à son but qui est de créer un objet.,French
La différence est que le travail de l'artisan reste extérieur à la matière alors que la nature agit à l'intérieur de la matière :« chaque être naturel a en soi-même un principe de mouvement et de repos »[9].,French
"Mais cette action de la nature est infiniment plus parfaite que celle de l'artisan et de sa ""techné"".« l'homme ne peut produire d'être vivant, ni d'être animé aussi parfait que les êtres de nature »[10].",French
